,Players,Prev4's,Prev5's,Prev6's,Cur4's,Cur5's,Cur6's,Inc4's,Inc5's,Inc6's,4@1point,5@5point,6@5point,total
33,SATNAM1R,0,0,0,0,357,65,0,357,65,0,1785,325,2110
97,NuNo,0,0,0,0,100,0,0,100,0,0,500,0,500
0,MorganKell,0,1988,297,0,2067,305,0,79,8,0,395,40,435
15,brokenjade,2,2454,157,2,2527,161,0,73,4,0,365,20,385
66,milleeee,0,510,5,0,567,9,0,57,4,0,285,20,305
62,Karlosas,0,2049,11,0,2102,11,0,53,0,0,265,0,265
93,Lord Frost,0,121,0,0,168,0,0,47,0,0,235,0,235
8,Theomore,0,1310,196,0,1351,200,0,41,4,0,205,20,225
68,R1m,0,1716,8,0,1760,8,0,44,0,0,220,0,220
13,SlackOfDoom,45,1634,158,45,1669,166,0,35,8,0,175,40,215
71,Kaelthas27,3,740,6,3,780,8,0,40,2,0,200,10,210
67,viktorija,0,156,7,0,194,9,0,38,2,0,190,10,200
60,Dimsa,0,149,15,0,183,18,0,34,3,0,170,15,185
1,King Rale,177,2396,287,177,2429,290,0,33,3,0,165,15,180
69,docente,1192,1298,8,1192,1334,8,0,36,0,0,180,0,180
81,tiddabeth,0,870,4,0,905,4,0,35,0,0,175,0,175
24,xLestat,0,1144,106,0,1175,110,0,31,4,0,155,20,175
30,17Palad1nOnm,2,1346,77,2,1379,78,0,33,1,0,165,5,170
85,Eragon67,1,835,2,1,869,2,0,34,0,0,170,0,170
72,MORTI,196,1908,6,196,1942,6,0,34,0,0,170,0,170
3,Guts Black,2852,1781,240,2852,1808,246,0,27,6,0,135,30,165
46,Wntrking,0,266,33,0,295,36,0,29,3,0,145,15,160
74,BOrke,0,87,3,0,116,6,0,29,3,0,145,15,160
84,DKH,1,1212,2,1,1244,2,0,32,0,0,160,0,160
58,EnchantressM,0,1476,18,0,1508,18,0,32,0,0,160,0,160
79,SFuRak,5836,1619,4,5836,1650,4,0,31,0,0,155,0,155
16,Jaredsc,0,1111,157,0,1139,160,0,28,3,0,140,15,155
14,StankoSRBLFC,1851,1631,161,1851,1657,166,0,26,5,0,130,25,155
90,Liable1,0,0,0,0,30,1,0,30,1,0,150,5,155
21,Dasharath,4896,1190,114,4896,1216,118,0,26,4,0,130,20,150
5,ArT,0,880,217,0,906,221,0,26,4,0,130,20,150
87,DownBerry,2,965,1,2,995,1,0,30,0,0,150,0,150
10,BuharaShroom,12,982,176,12,1010,178,0,28,2,0,140,10,150
50,Brooster,0,720,27,0,748,28,0,28,1,0,140,5,145
4,EDOX,1631,1920,240,1631,1947,242,0,27,2,0,135,10,145
75,arcane,0,1099,4,0,1126,5,0,27,1,0,135,5,140
48,pembaa,0,602,31,0,630,31,0,28,0,0,140,0,140
47,didialfeim,0,1112,30,0,1138,32,0,26,2,0,130,10,140
36,HussyofWhips,0,692,47,0,706,60,0,14,13,0,70,65,135
52,Boss X,51,836,25,51,863,25,0,27,0,0,135,0,135
26,Maverick,0,610,99,0,629,105,0,19,6,0,95,30,125
80,MariaZoe,1,1294,4,1,1319,4,0,25,0,0,125,0,125
23,xstanfordx,0,2195,109,0,2215,114,0,20,5,0,100,25,125
42,SireMuch,4,238,47,4,263,47,0,25,0,0,125,0,125
9,JohnHawkwood,2018,1995,191,2018,2019,192,0,24,1,0,120,5,125
78,Adijjiiiiiii,0,59,4,0,83,5,0,24,1,0,120,5,125
12,Wareblade,0,657,168,0,678,172,0,21,4,0,105,20,125
54,komyc,2743,1557,21,2743,1579,24,0,22,3,0,110,15,125
59,Skipka,0,366,15,0,387,18,0,21,3,0,105,15,120
96,zui,0,78,0,0,102,0,0,24,0,0,120,0,120
2,Lord Gitter,1251,1205,265,1251,1227,267,0,22,2,0,110,10,120
94,KEVA MILEVA,0,89,0,0,113,0,0,24,0,0,120,0,120
91,Foxxy,3265,1486,0,3265,1510,0,0,24,0,0,120,0,120
40,Fyre,0,252,48,0,273,51,0,21,3,0,105,15,120
82,ANASTASIAs,0,60,1,0,81,4,0,21,3,0,105,15,120
19,Kingsy D,3473,1319,136,3473,1339,139,0,20,3,0,100,15,115
39,FreyaMaiden,0,649,53,0,671,54,0,22,1,0,110,5,115
17,Klaus Schnee,0,1123,136,0,1142,140,0,19,4,0,95,20,115
11,mirjan,11,794,171,11,813,175,0,19,4,0,95,20,115
76,ZENZEY,0,1099,5,0,1122,5,0,23,0,0,115,0,115
22,Gunnarr716,0,1012,113,0,1030,118,0,18,5,0,90,25,115
7,dingleberry,0,1010,202,0,1029,206,0,19,4,0,95,20,115
34,RMonn,0,681,63,0,703,64,0,22,1,0,110,5,115
55,Beha,0,275,22,0,296,23,0,21,1,0,105,5,110
25,SEARCHER,1525,1660,101,1525,1676,107,0,16,6,0,80,30,110
88,UhtredR,2,962,1,2,984,1,0,22,0,0,110,0,110
37,TripleP,2,841,56,2,860,59,0,19,3,0,95,15,110
35,Draakir,0,670,63,0,691,64,0,21,1,0,105,5,110
77,Lord Lesa,0,96,5,0,118,5,0,22,0,0,110,0,110
38,trevers,0,320,53,0,338,57,0,18,4,0,90,20,110
27,MaceWindujr,1277,1918,94,1277,1937,97,0,19,3,0,95,15,110
28,Blackrainbow,5,927,79,5,943,85,0,16,6,0,80,30,110
95,Lilith Lilit,2,88,0,2,109,0,0,21,0,0,105,0,105
83,Mindaugyno,3,535,3,3,556,3,0,21,0,0,105,0,105
92,SERHAT STARK,0,338,0,0,359,0,0,21,0,0,105,0,105
43,LalaTheWhite,0,259,41,0,275,46,0,16,5,0,80,25,105
64,Sir Mogque,0,1009,9,0,1029,10,0,20,1,0,100,5,105
44,Freyyr,0,597,37,0,615,40,0,18,3,0,90,15,105
86,sakis111,0,379,2,0,400,2,0,21,0,0,105,0,105
45,GEERT,868,1348,38,868,1369,38,0,21,0,0,105,0,105
65,Csapek,0,1009,9,0,1029,10,0,20,1,0,100,5,105
29,12M,1422,1067,77,1422,1086,79,0,19,2,0,95,10,105
18,koddi,6,1085,137,6,1103,140,0,18,3,0,90,15,105
51,vampirewolfG,1,1054,26,1,1075,26,0,21,0,0,105,0,105
63,malimiki,3449,1056,11,3449,1077,11,0,21,0,0,105,0,105
57,Milos Iva,0,58,19,0,77,21,0,19,2,0,95,10,105
31,SashaM,799,2065,76,799,2085,76,0,20,0,0,100,0,100
73,Huuloc,0,430,5,0,449,6,0,19,1,0,95,5,100
41,Traksimus,0,220,44,0,235,49,0,15,5,0,75,25,100
70,Thos,2,856,7,2,875,8,0,19,1,0,95,5,100
56,KecIsHere,0,79,17,0,94,21,0,15,4,0,75,20,95
20,Duke Martin,2095,1325,125,2095,1343,126,0,18,1,0,90,5,95
89,Qkate,0,302,1,0,321,1,0,19,0,0,95,0,95
32,Odr,3,518,68,3,534,70,0,16,2,0,80,10,90
49,Lord Anibal,21,1050,30,21,1067,30,0,17,0,0,85,0,85
6,pikabooooo,954,850,207,954,864,210,0,14,3,0,70,15,85
53,Daessa,0,451,25,0,464,25,0,13,0,0,65,0,65
98,Sandra Lady,0,78,0,0,88,0,0,10,0,0,50,0,50
61,buddha6366,845,1310,12,845,1314,12,0,4,0,0,20,0,20
